Intervalo (°C),Frecuencia,Porcentaje
"[-0.6, -0.4)",1,0.3
"[-0.4, -0.2)",2,0.6
"[-0.2, 0.0)",18,5.0
"[0.0, 0.2)",56,15.6
"[0.2, 0.4)",74,20.6
"[0.4, 0.6)",86,23.9
"[0.6, 0.8)",69,19.2
"[0.8, 1.0)",39,10.8
"[1.0, 1.2)",13,3.6
"[1.2, 1.4)",1,0.3
"[1.4, 1.6)",1,0.3
